Epoch TrainLoss ValidLoss TestLoss
1 0.08197199248274167 0.04761919767615643 0.04845940378270572
2 0.05046966110666593 0.0529684906706531 0.05390722761991658
3 0.04659732370575269 0.05334385175337183 0.05283232509524007
4 0.04533784659206867 0.05432183568940518 0.053824492176122306
5 0.04330695716540019 0.06299480514481981 0.0656913201077075
6 0.042109889904658 0.067758491976147 0.06638575458451162
7 0.04161425556739171 0.06589200149508233 0.06724804918034168
8 0.03938346526523431 0.07291896740331295 0.07421599007860015
9 0.038916122198104856 0.07583566307228931 0.07330648492597326
10 0.039000464270512264 0.07680692761502367 0.07573991764006735
11 0.03826643938322862 0.07771776723576353 0.07721842674514916
12 0.03809635784725348 0.08443900732759466 0.08372262007073511
13 0.037845454012354215 0.08087888740478678 0.08351907940416396
14 0.037737370709578194 0.08503818464405993 0.08460002293503738
15 0.037267104104161265 0.08322143209899993 0.08456332005466087
16 0.03787688302993775 0.08598843141597637 0.0852244437872609
17 0.03770664894580841 0.08172827261559507 0.08508047607691982
18 0.03755903187890847 0.08209854899410238 0.08579545515247539
19 0.037692052920659386 0.08519250344722828 0.08442519223199615
20 0.03768908465902011 0.08892188546188334 0.08458173793705204
21 0.037419642642140385 0.08388848361024197 0.08536995716298683
22 0.03738793127238751 0.08676092049225848 0.0843155860335012
23 0.03770209257801374 0.08566805795627705 0.08648257617709003
24 0.037414728437860804 0.08310647487164811 0.08472282981759385
25 0.03724809467792511 0.08667653676201688 0.08321917198504074
26 0.0376991842786471 0.08297648383898938 0.08311528589906572
27 0.037988577713569005 0.08337974342259954 0.08550894637651081
28 0.03791837528844674 0.08402864365501607 0.08492677107076102
29 0.03763928931454817 0.08362382384849355 0.08566353564398198
30 0.03838303703069687 0.08286997988978599 0.08556563284578203
31 0.03787006672223409 0.08382687749380761 0.08871874675343308
32 0.0377779098401467 0.08498629162761759 0.085083141451395
33 0.037512626151243844 0.08318450646673112 0.08632758509697794
34 0.03768231748541196 0.08375741228302742 0.08375526837344412
35 0.037616866394877435 0.08542645548252349 0.08521869858797593
36 0.03831848521033923 0.08679420318692288 0.08495733877526054
37 0.03775866831342379 0.08427378448083046 0.08296598607226263
38 0.0378997121800979 0.084618807037143 0.08771876915346218
39 0.03752238048116366 0.086892870433153 0.0856334266217449
40 0.03744119148453077 0.08401821470482553 0.08608172593426101
41 0.037392080808679264 0.08408968951156799 0.08423737582715252
42 0.03770192817846934 0.08511247319426943 0.08486434275025054
43 0.037522521461049715 0.08414013521309863 0.08503660257858565
44 0.037773656994104385 0.08416611645767029 0.08238291627244104
45 0.03752638960878054 0.08369577521497899 0.08124944133849084
46 0.03842110547920068 0.08319596054547644 0.08468015680584727
47 0.038029447808861735 0.08378080976136187 0.08359774419024021
48 0.038064680486917496 0.0840420654400232 0.0851289520535288
49 0.038221101532379786 0.0811088623756424 0.08473978347227543
50 0.03827153269946575 0.08420600912513886 0.08441137729943553
51 0.038010781516631446 0.08630218297401641 0.08727702111760273
52 0.03741000278790792 0.08680541488401433 0.08674495016472249
53 0.037890826925635335 0.08596829523114448 0.08440192194679115
